,ud,sub_package,reg_id,reason,alt_stream_cnt,mult_dev_same_day_cnt,max_mult_dev,mult_loc_same_day_cnt,max_mult_loc,no_ott_ip_home
0,470,LC,47895387,checkAlt,8.0,,,,,
1,606,LC,48315640,checkAlt,12.0,,,,,
2,780,LC,48892385,checkAlt,20.0,,,,,
3,839,LC,49032778,checkAlt,7.0,,,,,
4,907,LC,49258960,checkMul,,0.0,2.0,1.0,4.0,0.0
5,1307,LC,49551024,checkAlt,5.0,,,,,
6,1748,LC,49996661,checkAlt,5.0,,,,,
7,1876,LC,50200949,checkMul,,1.0,5.0,0.0,2.0,0.0
8,2087,LC,50670945,checkAlt,5.0,,,,,
9,2468,LC,52394034,checkAlt,13.0,,,,,
10,2763,LC,53108676,checkAlt,5.0,,,,,
11,2765,LC,53109840,checkAlt,8.0,,,,,
12,2799,LC,53130527,checkAlt,9.0,,,,,
